,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-20,2018-01-21,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-27,2018-01-28,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03
594,XCPO,RIYA,DFT,INSN,EPY,MOIN,CBX,EPY,LINX,RIYA,NKA,UIS,DFT,BASH,CBX,GRE,FYN,IXC,ZEIT,EFYT
595,BYC,ELE,DAR,KLN,MOIN,BRO,KBR,FJC,POP,V,OPC,CBX,FYN,RIYA,XFT,MBRS,ELTCOIN,ADZ,DFT,V
596,BTA,JET,MZC,ADZ,GRE,JNS,EPY,CPAY,UNIFY,RKC,UNIFY,DCY,MOIN,ITT,42,ELTCOIN,XFT,OPC,PURE,XFT
597,CNT,NET,MAC,BRO,BRO,DFT,INFX,DFT,ADZ,UNIFY,CMPCO,FYN,DCY,DCY,PBT,XFT,EQT,FOR,DAY,DP
598,CFT,V,ETG,OCL,RNS,ALTCOM,ADZ,ADZ,JNS,XCN,FYN,DAR,BUN,FYN,RUSTBITS,CBX,CBX,BASH,ICOO,ELTCOIN
599,ICOO,UIS,JET,NET,ECASH,AU,FJC,CBX,EPY,BRO,POP,ELTCOIN,RUSTBITS,CDX,GRE,YOC,CNT,NDC,NDC,42
600,ECASH,UNB,LDOGE,XCPO,RUSTBITS,GJC,RNS,XLC,BRO,FJC,BRO,LINX,V,XLC,FYN,ERC20,ZEIT,ZEIT,XFT,CDX
601,CRM,BYC,CRM,CDN,DFT,FLIK,POP,MEC,CARBON,FYN,CPAY,CMPCO,RIYA,LDOGE,GIM,42,42,DFT,ERC20,STU
602,LGD,SIFT,XCN,HAL,CNT,FJC,CDN,FLIK,BASH,CNT,WDC,UNIFY,LINX,ELE,LDOGE,ZEIT,BUN,CNT,42,NDC
603,NET,OCL,OCL,FYN,DCY,CPAY,DFT,FYN,RNS,DFT,FJC,FJC,XLC,TES,RIYA,PBT,DP,IFLT,CDX,ITT
604,BRO,INFX,42,ELE,FYN,ECASH,BRO,RIYA,XCN,ERC20,ARC,V,KBR,UIS,DAR,UIS,PBT,RAIN,V,DAR
605,UIS,KLN,CFT,XCN,ABJ,GRE,TTC,MOIN,DFT,CPAY,ERC20,ERC20,OCL,RUSTBITS,UIS,DP,NIMFA,ICOO,ITT,ICOO
606,V,MCRN,FJC,XIOS,NET,ADZ,XCN,RUSTBITS,RIYA,LINX,RIYA,RIYA,TRCT,UNB,EMV,RIYA,ICOO,DP,EFYT,IFLT
607,INFX,MZC,KLN,RUSTBITS,XCPO,RIYA,JET,POP,MEC,POP,XLC,POP,GIM,KBR,DCY,MOIN,V,FYN,CNT,CARBON
608,PIPL,KEK,STN,MAC,ADZ,DAR,DAR,HODL,MOIN,CMPCO,AU,GIM,RNS,DFT,CMPCO,LINX,RIYA,ITT,UIS,GJC
609,EPY,BUN,INPAY,ECA,FJC,RUSTBITS,FYN,CMPCO,GIM,LDOGE,DAR,RNS,UNIFY,LINX,CNT,KBR,MOIN,RIYA,DP,RAIN
610,ELE,IFLT,IFLT,LGD,HAL,FYN,XCPO,RNS,FJC,XLC,DFT,BRO,POP,WDC,DFT,CTX,RKC,PBT,EQT,EQT
611,BUN,STN,DSR,ETG,BYC,CNT,NET,BYC,OPC,RNS,INSN,XLC,CMPCO,GIM,LINX,DFT,DFT,42,IFLT,CBX
612,GRE,ALTCOM,ABJ,JNS,SCORE,XCN,AU,DAR,ITT,STN,MEC,CJ,ARC,OCL,UNB,DCY,CRM,UIS,STU,LDOGE
613,FYN,LNK,UIS,UNB,ELE,HAL,ECASH,TTC,BUN,DAR,FLT,ARC,CDN,CMPCO,ELE,RNS,KBR,EMV,ELTCOIN,PBT
614,UNB,TES,DFS,SIFT,ETG,NET,INSN,AU,DAR,FST,XCPO,EMV,BRO,ICOO,OCL,ICOO,LNK,CBX,DAR,OCL
615,RIYA,FYN,BYC,DSR,XCN,OCL,RIYA,ECASH,XCPO,AU,CTX,CTX,WDC,LNK,CTX,FLT,RNS,ERC20,CBX,USC
616,ZER,GRE,ELE,CFT,AU,BYC,GIM,CDN,CMPCO,MOIN,CRM,OCL,EMV,V,WDC,NIMFA,STU,MOIN,PBT,GIM
617,XCN,SAGA,RUSTBITS,INPAY,OCL,RNS,ABJ,INSN,CDN,CRM,STN,NET,ICOO,CDN,FLT,UNB,XLC,OCL,RAIN,UIS
618,SIFT,INPAY,CDN,ICOO,CDN,XCPO,HAL,XCPO,HODL,MEC,RKC,RKC,FJC,ARC,V,CJ,EMV,CRM,RIYA,CNT
619,OCL,CFT,ORB,CRM,LGD,ELE,ALTCOM,GIM,BYC,RUSTBITS,CDN,CDN,NET,RNS,ICOO,ELE,ITT,WDC,LDOGE,EMV
620,MZC,MAC,INFX,ALTCOM,IFLT,SCORE,OCL,LGD,NET,OCL,OCL,42,DAR,XCPO,XLC,WDC,DCY,DAR,OCL,CMPCO
621,KLN,DFT,LGD,MZC,KLN,LGD,RUSTBITS,UNB,LDOGE,CDN,RUSTBITS,ICOO,CTX,UNIFY,UNIFY,BUN,LDOGE,FUCK,MOIN,MOIN
622,INSN,FUCK,SMC,FJC,KEK,CDN,LGD,OCL,AU,TTC,LDOGE,XCPO,UIS,FLT,SCORE,CMPCO,FUCK,RKC,SCT,FUCK
