,2018-01-15,2018-01-16,2018-01-17,2018-01-18,2018-01-19,2018-01-20,2018-01-21,2018-01-22,2018-01-23,2018-01-24,2018-01-25,2018-01-26,2018-01-27,2018-01-28,2018-01-29,2018-01-30,2018-01-31,2018-02-01,2018-02-02,2018-02-03
0,"(u'BTC', 231334000000)","(u'BTC', 232517000000)","(u'BTC', 192123000000)","(u'BTC', 188242000000)","(u'BTC', 192150000000)","(u'BTC', 195979000000)","(u'BTC', 216740000000)","(u'BTC', 195645000000)","(u'BTC', 184087000000)","(u'BTC', 183419000000)","(u'BTC', 192163000000)","(u'BTC', 189398000000)","(u'BTC', 188054000000)","(u'BTC', 193133000000)","(u'BTC', 197871000000)","(u'BTC', 190339000000)","(u'BTC', 170183000000)","(u'BTC', 172372000000)","(u'BTC', 153953000000)","(u'BTC', 149085000000)"
1,"(u'ETH', 132404000000)","(u'ETH', 125389000000)","(u'ETH', 102974000000)","(u'ETH', 98642100000)","(u'ETH', 99863900000)","(u'ETH', 101451000000)","(u'ETH', 112226000000)","(u'ETH', 102504000000)","(u'ETH', 97554300000)","(u'ETH', 95952700000)","(u'ETH', 103335000000)","(u'ETH', 102334000000)","(u'ETH', 102651000000)","(u'ETH', 108122000000)","(u'ETH', 121269000000)","(u'ETH', 115207000000)","(u'ETH', 104231000000)","(u'ETH', 108952000000)","(u'ETH', 100836000000)","(u'ETH', 89507600000)"
2,"(u'XRP', 71909400000)","(u'XRP', 65018400000)","(u'XRP', 45854700000)","(u'XRP', 50577100000)","(u'XRP', 61291900000)","(u'XRP', 60543000000)","(u'XRP', 61061900000)","(u'XRP', 53909800000)","(u'XRP', 52421300000)","(u'XRP', 52380100000)","(u'XRP', 52811100000)","(u'XRP', 50706400000)","(u'XRP', 47180200000)","(u'XRP', 47412500000)","(u'XRP', 54204300000)","(u'XRP', 51452400000)","(u'XRP', 43800800000)","(u'XRP', 44971500000)","(u'XRP', 37473900000)","(u'XRP', 34795900000)"
3,"(u'BCH', 42983500000)","(u'BCH', 40708800000)","(u'BCH', 29899500000)","(u'BCH', 29643600000)","(u'BCH', 29442200000)","(u'BCH', 30191500000)","(u'BCH', 34415500000)","(u'BCH', 30370200000)","(u'BCH', 27473700000)","(u'BCH', 27460200000)","(u'BCH', 28121300000)","(u'BCH', 27720500000)","(u'BCH', 27136100000)","(u'BCH', 27713300000)","(u'BCH', 29561500000)","(u'BCH', 28079700000)","(u'BCH', 24915700000)","(u'BCH', 25263200000)","(u'BCH', 21561700000)","(u'BCH', 20237400000)"
4,"(u'ADA', 20631800000)","(u'ADA', 20239200000)","(u'ADA', 16181700000)","(u'ADA', 16367600000)","(u'ADA', 16840800000)","(u'ADA', 17022800000)","(u'ADA', 18314600000)","(u'ADA', 15944700000)","(u'ADA', 14688600000)","(u'ADA', 14606500000)","(u'ADA', 16316900000)","(u'ADA', 16435300000)","(u'ADA', 16164900000)","(u'ADA', 16089300000)","(u'ADA', 17354900000)","(u'ADA', 16199200000)","(u'ADA', 13679100000)","(u'ADA', 13376100000)","(u'ADA', 10875400000)","(u'ADA', 10395800000)"
5,"(u'LTC', 12993700000)","(u'LTC', 12752100000)","(u'LTC', 10417800000)","(u'LTC', 10245500000)","(u'LTC', 10480800000)","(u'LTC', 10658300000)","(u'LTC', 11585700000)","(u'LTC', 10521900000)","(u'LTC', 9892990000)","(u'LTC', 9793780000)","(u'XLM', 10146600000)","(u'XLM', 10759400000)","(u'XLM', 11283600000)","(u'XLM', 11005200000)","(u'XLM', 11303400000)","(u'NEO', 10976100000)","(u'NEO', 9451090000)","(u'XLM', 9967480000)","(u'XLM', 8387820000)","(u'NEO', 7867210000)"
6,"(u'XEM', 12488300000)","(u'XEM', 12460300000)","(u'NEO', 9407150000)","(u'NEO', 9269200000)","(u'XEM', 9645220000)","(u'XEM', 9901720000)","(u'XEM', 11019300000)","(u'XEM', 9700910000)","(u'XEM', 8883820000)","(u'XLM', 8693050000)","(u'LTC', 9968750000)","(u'LTC', 9875590000)","(u'LTC', 9705020000)","(u'LTC', 9969420000)","(u'LTC', 10649800000)","(u'XLM', 10557100000)","(u'LTC', 9090870000)","(u'NEO', 9487200000)","(u'NEO', 8166710000)","(u'XLM', 7482160000)"
7,"(u'XLM', 11190600000)","(u'NEO', 12217900000)","(u'XEM', 8788260000)","(u'XEM', 9234340000)","(u'NEO', 9181130000)","(u'NEO', 9132020000)","(u'NEO', 9764800000)","(u'NEO', 8599480000)","(u'XLM', 8487840000)","(u'XEM', 8524940000)","(u'NEO', 8976150000)","(u'EOS', 8958130000)","(u'EOS', 9027390000)","(u'XEM', 9506630000)","(u'NEO', 9885260000)","(u'LTC', 9976170000)","(u'XLM', 8732980000)","(u'LTC', 9004330000)","(u'LTC', 7844710000)","(u'LTC', 7232410000)"
8,"(u'NEO', 11056500000)","(u'XLM', 10736400000)","(u'XLM', 7906720000)","(u'XLM', 8579040000)","(u'XLM', 9005680000)","(u'XLM', 9123480000)","(u'EOS', 9666480000)","(u'EOS', 8385480000)","(u'EOS', 8432510000)","(u'EOS', 8112750000)","(u'XEM', 8760480000)","(u'NEO', 8953600000)","(u'NEO', 8979150000)","(u'NEO', 9124100000)","(u'EOS', 9524430000)","(u'EOS', 8918290000)","(u'EOS', 7309740000)","(u'EOS', 7826060000)","(u'EOS', 6528440000)","(u'EOS', 6290740000)"
9,"(u'MIOTA', 10334400000)","(u'MIOTA', 9646500000)","(u'MIOTA', 7235510000)","(u'MIOTA', 7559510000)","(u'MIOTA', 7630760000)","(u'MIOTA', 7530230000)","(u'XLM', 9560800000)","(u'XLM', 8336150000)","(u'NEO', 8018770000)","(u'NEO', 7966980000)","(u'EOS', 8734500000)","(u'XEM', 8504380000)","(u'XEM', 7589110000)","(u'EOS', 9057850000)","(u'XEM', 9253430000)","(u'XEM', 8421590000)","(u'XEM', 7071080000)","(u'XEM', 7123980000)","(u'XEM', 5522750000)","(u'XEM', 5260800000)"
